Delivery Date,Delivery Hour,Settlement Point Name,Settlement Point Price
10/3/2020,8,LZ_HOUSTON,8.5075
10/16/2020,1,LZ_WEST,3.0925
10/29/2020,12,LZ_NORTH,26.59
10/7/2020,9,LZ_WEST,14.735
10/21/2020,15,LZ_WEST,4.6
10/3/2020,17,LZ_WEST,47.865
10/1/2020,5,LZ_SOUTH,15.9125
10/16/2020,11,LZ_NORTH,19.45
10/22/2020,7,LZ_WEST,-1.0325
10/29/2020,3,LZ_WEST,13.745
10/14/2020,14,LZ_WEST,13.8875
10/10/2020,4,LZ_SOUTH,5.2125
10/22/2020,2,LZ_SOUTH,17.915
10/23/2020,17,LZ_WEST,-2.0625
10/21/2020,18,LZ_WEST,-0.5575
10/18/2020,17,LZ_SOUTH,21.44
10/27/2020,3,LZ_HOUSTON,29.9475
10/25/2020,24,LZ_HOUSTON,17.055
10/30/2020,17,LZ_WEST,22.8625
10/25/2020,19,LZ_WEST,-1.13
10/30/2020,1,LZ_SOUTH,19.7225
10/5/2020,6,LZ_SOUTH,17.03
10/23/2020,23,LZ_NORTH,20.43
10/24/2020,9,LZ_SOUTH,21.765
10/10/2020,15,LZ_SOUTH,50.75
10/5/2020,9,LZ_HOUSTON,13.165
10/4/2020,18,LZ_WEST,169.725
10/15/2020,11,LZ_SOUTH,17.46
10/30/2020,19,LZ_SOUTH,35.8025
10/7/2020,14,LZ_NORTH,32.325
10/27/2020,10,LZ_SOUTH,81.7175
10/24/2020,13,LZ_NORTH,19.1375
10/13/2020,23,LZ_NORTH,13.1225
10/31/2020,2,LZ_HOUSTON,20.83
10/4/2020,10,LZ_SOUTH,14.14
10/10/2020,14,LZ_NORTH,28.49
10/20/2020,14,LZ_HOUSTON,52.0725
10/8/2020,12,LZ_NORTH,20.1325
10/22/2020,2,LZ_HOUSTON,16.2175
10/1/2020,10,LZ_WEST,13.6575
10/23/2020,2,LZ_SOUTH,16.9175
10/1/2020,11,LZ_WEST,13.795
10/31/2020,21,LZ_HOUSTON,27.15
10/23/2020,8,LZ_WEST,-1.2325
10/2/2020,19,LZ_WEST,86.42
10/13/2020,13,LZ_HOUSTON,31.6025
10/27/2020,8,LZ_SOUTH,30.7525
10/15/2020,13,LZ_WEST,-2.6925
10/11/2020,18,LZ_HOUSTON,25.355
10/10/2020,13,LZ_NORTH,23.3175
10/7/2020,13,LZ_NORTH,19.52
10/5/2020,2,LZ_NORTH,9.44
10/1/2020,21,LZ_WEST,21.3475
10/16/2020,1,LZ_SOUTH,18.76
10/31/2020,17,LZ_NORTH,24.2325
10/31/2020,4,LZ_HOUSTON,22.915
10/31/2020,20,LZ_HOUSTON,29.16
10/28/2020,16,LZ_WEST,5.3575
10/5/2020,18,LZ_NORTH,35.13
10/8/2020,23,LZ_NORTH,19.9375
10/22/2020,14,LZ_HOUSTON,44.66
10/14/2020,19,LZ_WEST,63.8025
10/23/2020,21,LZ_NORTH,21.52
10/13/2020,9,LZ_SOUTH,18.46
10/24/2020,5,LZ_HOUSTON,19.4
10/8/2020,9,LZ_HOUSTON,16.6425
10/21/2020,9,LZ_HOUSTON,23.4475
10/5/2020,21,LZ_WEST,1.8275
10/24/2020,24,LZ_WEST,-2.5625
10/12/2020,9,LZ_SOUTH,17.645
10/17/2020,6,LZ_WEST,-13.575
10/21/2020,21,LZ_WEST,8.8225
10/30/2020,2,LZ_NORTH,23.1875
10/6/2020,8,LZ_SOUTH,15.2425
10/6/2020,8,LZ_NORTH,15.06
10/17/2020,18,LZ_SOUTH,18.02
10/18/2020,13,LZ_SOUTH,19.7775
10/21/2020,13,LZ_SOUTH,37.9575
10/29/2020,9,LZ_NORTH,27.995
10/3/2020,7,LZ_NORTH,5.91
10/12/2020,13,LZ_NORTH,19.1625
10/13/2020,22,LZ_WEST,15.2975
10/28/2020,18,LZ_HOUSTON,18.085
10/17/2020,18,LZ_NORTH,15.2125
10/1/2020,2,LZ_HOUSTON,13.06
10/20/2020,20,LZ_HOUSTON,33.91
10/16/2020,10,LZ_WEST,21.3775
10/20/2020,22,LZ_SOUTH,29.4975
